author,date,description,tags,title
"Adam Kasperowicz,Julian Brendl,Gregory Pandechis",July 2021,"Ready to learn about algorithmic trading from the inside out? Optiver invites Python developers to dive deep into the technical systems that power Optiver, a leading global market maker. Optiver contributes to efficient, transparent and healthy markets by accurately pricing financial products on 50+ exchanges around the world. In order to continuously generate accurate prices, the firm builds and relies on sophisticated Python models. Want to push your skills to the limit? Let’s see if you’ve got what it takes to program under the pressure of the markets.","Algorithms,Data,python",Activate Your Interest in Coding for Algorithmic Trading
Meredydd Luff,July 2021,"If you're building something for developers, you want it to get *used*. This means your potential users need to find your library, framework, or API. They need to work out whether it's useful for them, learn how to use it, and solve problems they encounter along the way. All these things depend on your developer docs!","Communication,Community,Development,Documentation,Teaching",Writing Better Documentation for Developers
Emmanuelle Delescolle,July 2021,"Django, Flask and Pyramid are among the most popular Python web frameworks and for good reasons.","APIs,Case Study,Development,Web,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)",Writing a python web framework in 2021
Abraham Coiman,July 2021,"In this talk, we will show you the use of GRASS GIS (Geographic Resources Analysis Support System - Geographical Information System) and other geospatial Python libraries within a Jupyter Notebook to simulate wildfire spread in Yosemite National Park California USA.  We will also show you a straightforward workflow to obtain and save input geospatial data for wildfire simulation using Google Earth Engine (GEE) Python API, GeoPandas, and geemap (a Python package for interactive mapping with GEE). GRASS GIS commands are generally run into bash shells, thus in this talk, we will demonstrate how we run GRASS GIS commands from Jupyter notebook to model wildfire behavior and display the resulting maps. We expect the audience has a basic understanding of GIS, Remote Sensing, and Python programming.","Case Study,Data Science,GEO and GIS,Jupyter,Python 3",Wildfire Modeling in Yosemite National Park
Christian Burger,July 2021,If you are managing developer teams or departments a pet project may be a helpful tool to stay out of your developers hair and learn about the technologies used in your department without blocking your developers to babysit you.,"Case Study,Management",Why You Should Consider Getting a Python Pet Project
Antonis Christofides,July 2021,"""Smart people sometimes like to show off their smarts,    by demonstrating their mental juggling abilities. After all,,    if you can reliably remember that r is the lower-cased,    version of the url with the host and scheme removed,,    then you must clearly be very smart.","Clean Code,Documentation,Meta Classes,Programming",Why you always had trouble understanding metaclasses
Alyona Galyeva,July 2021,This talk covers the importance of building end-to-end machine learning pipelines from day one. ,"Data Science,Engineering,Machine-Learning,Python 3",We build a ML pipeline after we deploy
Nithish Raghunandanan,July 2021,"The introduction to the talk would cover the motivation for the solution. As someone who loves to travel and has been travelling quite extensively in Europe over the past years, the lockdown & travel restrictions preventing travels are quire hard to adjust to. This gave me the idea to build a dashboard around my past travels to improve my spirits. ","Analytics,Big Data,Tooling,Visualization",Virtual Tourism In Covid Times
Kracekumar,July 2021,"Python 3 introduced type hints and it's optional to use. ,The decision to use the type-hints in the python community is in two different camps - Embrace and skeptical.","APIs,Django,Type-Hinting",Type Check your Django app
Jessica Temporal,July 2021,"I like to remember the places I have been and I always liked the idea of having a map of those places, so as any developer would do, I built a web application for that.  ","APIs,python",Traveling through a secure API in Python
